experiment_id,run_id,seed,variant,downstream_capability,failure_scenario,failure_probability,concurrency,operation_id,attempt_id,service,tool_name,request_hash,measured,event_type,timestamp,duration_ms,result_status,http_status,final_state,replayed,reconciled,downstream_effect_id
CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_1788650809004,7000,V5,C2,F11,0.0,50,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000_ATTEMPT_01,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788650821.329754,10.515,OK,200,COMPLETED,False,False,9096ca6b-b170-488d-9ba0-58533baa3126
CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_1788650809004,7000,V5,C2,F11,0.0,50,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000_ATTEMPT_03,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788650821.4986172,11.295,OK,200,COMPLETED,True,False,9096ca6b-b170-488d-9ba0-58533baa3126
CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_1788650809004,7000,V5,C2,F11,0.0,50,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000_ATTEMPT_02,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788650821.497619,11.062,OK,200,COMPLETED,True,False,9096ca6b-b170-488d-9ba0-58533baa3126
CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_1788650809004,7000,V5,C2,F11,0.0,50,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000_ATTEMPT_06,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788650821.501465,7.687,OK,200,COMPLETED,True,False,9096ca6b-b170-488d-9ba0-58533baa3126
CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_1788650809004,7000,V5,C2,F11,0.0,50,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000_ATTEMPT_05,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788650821.502551,11.897,OK,200,COMPLETED,True,False,9096ca6b-b170-488d-9ba0-58533baa3126
CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_1788650809004,7000,V5,C2,F11,0.0,50,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000_ATTEMPT_04,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788650821.503708,14.07,OK,200,COMPLETED,True,False,9096ca6b-b170-488d-9ba0-58533baa3126
CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_1788650809004,7000,V5,C2,F11,0.0,50,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000_ATTEMPT_07,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788650821.50469,9.897,OK,200,COMPLETED,True,False,9096ca6b-b170-488d-9ba0-58533baa3126
CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_1788650809004,7000,V5,C2,F11,0.0,50,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000_ATTEMPT_11,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788650821.5063539,7.276,OK,200,COMPLETED,True,False,9096ca6b-b170-488d-9ba0-58533baa3126
CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_1788650809004,7000,V5,C2,F11,0.0,50,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000_ATTEMPT_08,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788650821.507196,11.232,OK,200,COMPLETED,True,False,9096ca6b-b170-488d-9ba0-58533baa3126
CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_1788650809004,7000,V5,C2,F11,0.0,50,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000_ATTEMPT_09,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788650821.5073862,9.08,OK,200,COMPLETED,True,False,9096ca6b-b170-488d-9ba0-58533baa3126
CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_1788650809004,7000,V5,C2,F11,0.0,50,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000_ATTEMPT_10,agent-simulator,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,agent_attempt,1788650821.50755,8.92,OK,200,COMPLETED,True,False,9096ca6b-b170-488d-9ba0-58533baa3126
CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_1788650809004,,,,,,,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000_ATTEMPT_01,order-service,create_order,e4683f8ff58f501fc8444a65d95b60fa38159c72f56f1b9fafef1dc706cfb21f,True,downstream_execute,1788650821.326167,,OK,,,False,False,9096ca6b-b170-488d-9ba0-58533baa3126
