failure_scenario,variant,fanout,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F5,V2,2,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F5,V2,2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F5,V2,5,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F5,V2,5,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F5,V3,10,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F5,V3,10,DAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F5,V3,2,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F5,V3,2,DAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F5,V3,5,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F5,V3,5,DAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F5,V4,10,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F5,V4,10,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F5,V4,2,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F5,V4,2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F5,V4,5,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F5,V4,5,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F5,V5,10,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F5,V5,10,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F5,V5,2,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F5,V5,2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F5,V5,5,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F5,V5,5,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F6,V0,10,RAF,10,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
F6,V0,10,DAF,10,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
F6,V0,2,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F6,V0,2,DAF,10,1.99912,2.0,0.002782804340948148,2.0,2.0,0.0,1.9912,2.0,1.9973952,2.0008448
F6,V0,5,RAF,10,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0
F6,V0,5,DAF,10,4.99784,5.0,0.00683051974596379,5.0,5.0,0.0,4.9784,5.0,4.9936064,5.0020736
F6,V1,10,RAF,10,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
F6,V1,10,DAF,10,9.39284,9.394200000000001,0.04113363587138899,9.3721,9.4168,0.04470000000000063,9.3216,9.4739,9.367345108351671,9.418334891648328
F6,V1,2,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F6,V1,2,DAF,10,1.64308,1.64245,0.007685021506512217,1.6365,1.6468,0.010299999999999976,1.6331,1.6574,1.6383167743217204,1.6478432256782798
F6,V1,5,RAF,10,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0
F6,V1,5,DAF,10,4.335100000000001,4.33275,0.02117844816474203,4.3253,4.3384,0.013099999999999667,4.3,4.38,4.321973461832354,4.348226538167647
F6,V2,10,RAF,10,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
F6,V2,10,DAF,10,0.9981300000000001,1.0,0.005604373292349478,1.0,1.0,0.0,0.9822,1.0,0.9946563734455184,1.0016036265544817
F6,V2,2,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F6,V2,2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F6,V2,5,RAF,10,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0
F6,V2,5,DAF,10,0.99946,1.0,0.0011539304812489956,1.0,1.0,0.0,0.9969,1.0,0.9987447864778808,1.0001752135221194
F6,V3,10,RAF,10,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
F6,V3,10,DAF,10,9.385100000000001,9.3844,0.026338438323737633,9.3626,9.4019,0.039299999999999,9.3481,9.4402,9.368775266797485,9.401424733202518
F6,V3,2,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F6,V3,2,DAF,10,1.64386,1.6438000000000001,0.007065282883382807,1.6404,1.6467,0.006299999999999972,1.6331,1.6547,1.6394808922999213,1.6482391077000789
F6,V3,5,RAF,10,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0
F6,V3,5,DAF,10,4.32577,4.31955,0.017303567390698424,4.3151,4.332,0.016899999999999693,4.3061,4.3547,4.315045137818239,4.336494862181762
F6,V4,10,RAF,10,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
F6,V4,10,DAF,10,0.99656,1.0,0.008498784226778154,1.0,1.0,0.0,0.9734,1.0,0.9912923989622093,1.0018276010377907
F6,V4,2,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F6,V4,2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F6,V4,5,RAF,10,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0
F6,V4,5,DAF,10,0.99969,1.0,0.0009803060746521948,1.0,1.0,0.0,0.9969,1.0,0.9990823999999999,1.0002976
F6,V5,10,RAF,10,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
F6,V5,10,DAF,10,0.99976,1.0,0.0007589466384403977,1.0,1.0,0.0,0.9976,1.0,0.9992896,1.0002304
F6,V5,2,RAF,10,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
F6,V5,2,DAF,10,0.99864,1.0,0.004300697617828979,1.0,1.0,0.0,0.9864,1.0,0.9959744,1.0013056
F6,V5,5,RAF,10,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0
F6,V5,5,DAF,10,0.9995799999999999,1.0,0.0013281566172707135,1.0,1.0,0.0,0.9958,1.0,0.9987567999999999,1.0004031999999998
