path,size_bytes,sha256
PHASE7_REPORT.md,4399,f0e4e15aeb421e0a4734ebfc863f027d6fdf63701faeb2fef89619c8e8c8688f
audits/infrastructure_retry_summary.csv,171354,3e6c2352d9dcea572bfd952f18470ad70d2655a91622df96df2f1a96dc3a5eaf
audits/known_analysis_corrections.md,556,8fdc412fec84f6703d9606805da94e49d7829342b549e18147e05d1467dadcd0
audits/metrics_consistency_summary.json,244,a371f85108b3a124a5301446953794d49e55450498e947052928ca9e92d43789
audits/missing_data_audit.json,243,10a1bd1dbad271416d0fb581067998ed23c652e52d32edb40c44ece5e0c7ba14
audits/observer_independence.json,826,f1ee54fad1089e2881ea9341512d28bd0efe3ffd992d29cee7a5cd0f24112cd9
audits/ownership_violations.csv,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
audits/state_transition_violations.csv,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
bundle_manifest.csv,18138,7c7ac0ab3cc983025004613df554716ff8027b90a0e68d0eb18ee008a6f1f7cb
figures/fig1_der_by_variant.csv,13405,39a39c9e5be17baac7bd885aebc00392bfa78742022ec998e62b731b0209396b
figures/fig2_reconciliation.csv,3521,881abe3e28c5c321b4f2239f65a6bbe0fd5e144dc3bbcb4ab3e483b6ff0b300e
figures/fig3_retry_amplification.csv,7293,70530e207f4202cc91f9cdd46e743b6cc818a698867defe3d3b4a04d74cdb9e1
figures/fig4_latency_overhead.csv,3954,2378635e1a784a6224e529a19a25772a7026cd94a9428789ed9e567067ece5a5
figures/fig5_capability.csv,5548,8128a0d2aeeb6583198bf78642dd80a3aeaf9016ed8a42cb3cb57ed578f50943
figures/fig6_generalization.csv,33409,a975f2f56f4da5e60f487844c50d8adb6e34075011f342fe2ab48c30792cc6d6
phase6_run_level.csv,1299806,34c1567994c2ab43cfbc9d7ff9b1d9170ae73ddfacba4d24a986ddbf49ccb43d
representative_traces/capability_c0/effects.csv,316,1946c4835b7463da80998b0286f007b3bb1493a968892e91742c78a8001e46be
representative_traces/capability_c0/events.csv,2709,a51a16df5fa0e95912a017e60f3e4789d7732e2cd2ff3acac1ac4fc9d395a3c7
representative_traces/capability_c0/experiment_config.yaml,496,95fa63577c27793bcd23fa73a1cdf275f65dac2d251f3b9a367e0b34436176fb
representative_traces/capability_c0/ledger_transitions.csv,784,c3c954ce435fd8d805883067c9b37b16ab4752c5377aeb8bb9f4d0786ad2426a
representative_traces/capability_c0/narrative.json,599,14558cd6c6b18f2db9e3f1d3759add136ad1844eb246a464fd0973ad5792452a
representative_traces/capability_c0/operations.csv,284,3f28bae51919fa24453ea353974ead7580340c7e984f5b7a6ad95ca3c19dfd3c
representative_traces/capability_c0/summary.json,326,f47cb4f7748b0e0b053023926b796d8dee7133586aed081c050866eff43a1a6a
representative_traces/capability_c2/effects.csv,316,d97b8cdd6b3554d023b42065167ab19aafee9b231c1794fe95a50675a0da2509
representative_traces/capability_c2/events.csv,2705,32a71bb90824ccfa3bda0c3f5ebe2becdcb8965467322db6bddb5dbf92d8c380
representative_traces/capability_c2/experiment_config.yaml,496,1346766e6c627c81b2b3761e306c1e7afc6ad0228f89c08cf3f60255e10ceb1a
representative_traces/capability_c2/ledger_transitions.csv,784,68243f107d0d7dc766ded5a90e6298fcf3dcd5480ae346fa56eb2e06d8ff31d1
representative_traces/capability_c2/narrative.json,599,2b18187e9e513776592494dfd59feb43ffebac97919e053c9b71be376f374f6a
representative_traces/capability_c2/operations.csv,272,69f0593b2ac135c3dc69fc6a414ed5578cbc2a676a9a18aae532ea108c2f2d25
representative_traces/capability_c2/summary.json,326,a197a2233f8eb791300abff0c51cf702e71fe366c9749db1054ef68acc2c004a
representative_traces/index.csv,3942,4c702ff307ac2d7b51dec157b75311418762d85a6927df5e1e3dd3b197b08a32
