effect_id,operation_id,effect_type,service,experiment_id,run_id,timestamp
7c754025-0a80-4d5e-ae95-328b465562c1,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_OP_00001000,CREATE_ORDER,order-service,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_1788649387864,2026-09-05T23:03:18.644118+00:00
54d7fe6e-a0dd-4943-96de-43aefd285d4e,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_OP_00001000,CREATE_ORDER,order-service,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_1788649387864,2026-09-05T23:03:19.220606+00:00
78d0b7f1-9383-4a56-a38f-b98c50fa8ada,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_OP_00001000,CREATE_ORDER,order-service,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_1788649387864,2026-09-05T23:03:19.221415+00:00
8e4b8866-3ffc-4836-8bc3-23fb45736054,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_OP_00001000,CREATE_ORDER,order-service,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_1788649387864,2026-09-05T23:03:19.221679+00:00
df8058e9-05f9-4ee8-8ea4-3cefc5ca7a1f,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_OP_00001000,CREATE_ORDER,order-service,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_1788649387864,2026-09-05T23:03:19.226241+00:00
230f3d1c-01a9-4b8a-b35d-e82c1d4afae6,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_OP_00001000,CREATE_ORDER,order-service,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_1788649387864,2026-09-05T23:03:19.226311+00:00
1eeef1be-482f-46ae-9034-4ca509cc6384,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_OP_00001000,CREATE_ORDER,order-service,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_1788649387864,2026-09-05T23:03:19.226735+00:00
4f9c2ec7-0b3c-409a-b273-a92f48122d8b,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_OP_00001000,CREATE_ORDER,order-service,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_1788649387864,2026-09-05T23:03:19.227286+00:00
add60980-e774-4a72-ba4d-d57431807ede,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_OP_00001000,CREATE_ORDER,order-service,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_1788649387864,2026-09-05T23:03:19.227928+00:00
fd36a8a4-94e3-444a-9ff2-37bd6c9ad4fd,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_OP_00001000,CREATE_ORDER,order-service,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_1788649387864,2026-09-05T23:03:19.227976+00:00
33e8835e-b49e-49a5-a449-19d50d732acc,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_OP_00001000,CREATE_ORDER,order-service,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_1788649387864,2026-09-05T23:03:19.233492+00:00
